Dataset,0 states,10 states,25 states,50 states,75 states,100 states,
OR10x100-0.25_8 SAM-0.02,2784105,30487338,72069885,141508603,210784509,280005270,
OR10x100-0.25_8 SAM-0.05,2784105,30013900,70521333,139860313,209931397,281191348,
OR10x100-0.25_8 SAM-0.1,2784105,29871548,70226743,137548420,205609671,272981523,
OR10x100-0.25_8 SAM-0.2,2784105,28805664,68053472,133358075,198606152,263451597,
OR10x100-0.25_9 SAM-0.01,2768853,30386552,71843174,141118405,210560962,279995343,
OR10x100-0.25_9 SAM-0.02,2768853,30242690,71429443,140043253,207835427,275343501,
OR10x100-0.25_9 SAM-0.05,2768853,30075610,71119245,140499191,209156918,277603987,
OR10x100-0.25_9 SAM-0.1,2768853,29779282,70344639,136909582,203346062,270283630,
OR10x100-0.25_9 SAM-0.2,2768853,28705709,68370962,133829021,195803882,258286341,
OR10x100-0.50_1 SAM-0.01,5091585,55953867,132336914,259552759,386384459,513376968,
OR10x100-0.50_1 SAM-0.02,5091585,55866397,132033525,260305360,388821856,517324762,
OR10x100-0.50_1 SAM-0.05,5091585,56065926,133118084,262589997,393619307,524410687,
OR10x100-0.50_1 SAM-0.1,5091585,56629927,134571121,266159634,395126427,526352982,
OR10x100-0.50_1 SAM-0.2,5091585,56542194,135328561,268860774,403977829,540243294,
OR10x100-0.50_10 SAM-0.01,5068461,55654766,131562395,257839001,383720333,509508315,
OR10x100-0.50_10 SAM-0.02,5068461,55792863,131560995,258514395,386237657,514198369,
OR10x100-0.50_10 SAM-0.05,5068461,55721480,131743326,259099793,388640466,519268903,
OR10x100-0.50_10 SAM-0.1,5068461,56058993,131835486,258076429,384804493,512900696,
OR10x100-0.50_10 SAM-0.2,5068461,55966719,135215691,264673696,391460406,519490672,
OR10x100-0.50_2 SAM-0.01,5208312,57295620,135400578,265557439,395677962,526197893,
OR10x100-0.50_2 SAM-0.02,5208312,57258828,135398134,265463146,394675345,523626814,
OR10x100-0.50_2 SAM-0.05,5208312,57378791,135803646,267771053,399853113,532532767,
OR10x100-0.50_2 SAM-0.1,5208312,57531279,136314496,267776174,398569078,531594361,
OR10x100-0.50_2 SAM-0.2,5208312,57351210,137339861,272316086,408200451,545801314,
OR10x100-0.50_3 SAM-0.01,5215323,57293036,135274407,265565182,396213062,527158960,
OR10x100-0.50_3 SAM-0.02,5215323,57399641,135893498,266601350,398240549,530511263,
OR10x100-0.50_3 SAM-0.05,5215323,57591777,136868972,271174254,405709015,539440780,
OR10x100-0.50_3 SAM-0.1,5215323,57759943,137869760,273231058,408137581,540517043,
OR10x100-0.50_3 SAM-0.2,5215323,57629899,137057526,269424838,399809636,532546282,
OR10x100-0.50_4 SAM-0.01,5611752,61689048,145880422,285680458,424967410,564178017,
OR10x100-0.50_4 SAM-0.02,5611752,61770823,145878696,286093084,426574377,567103560,
OR10x100-0.50_4 SAM-0.05,5611752,61651594,146217705,286272148,425981157,566148912,
OR10x100-0.50_4 SAM-0.1,5611752,61173037,145446142,287373983,430806775,574543244,
OR10x100-0.50_4 SAM-0.2,5611752,61634064,144537088,282136093,422788194,560431997,
OR10x100-0.50_5 SAM-0.01,5151732,56530547,133353281,260623343,387606599,514505317,
OR10x100-0.50_5 SAM-0.02,5151732,56445512,133546968,262066729,390151196,518412996,
OR10x100-0.50_5 SAM-0.05,5151732,56251938,132268393,258716812,385520421,512842412,
OR10x100-0.50_5 SAM-0.1,5151732,55758335,131793171,259274801,385307931,509903129,
OR10x100-0.50_5 SAM-0.2,5151732,55252403,131732307,259886453,386396938,515505703,
OR10x100-0.50_6 SAM-0.01,5288385,58193869,137453458,269953235,402539111,534696587,
OR10x100-0.50_6 SAM-0.02,5288385,57996052,137048141,269100999,401312923,532897164,
OR10x100-0.50_6 SAM-0.05,5288385,57789412,136442433,268047844,399492962,530686660,
OR10x100-0.50_6 SAM-0.1,5288385,57494148,135316827,268538944,401169597,535290545,
OR10x100-0.50_6 SAM-0.2,5288385,58306575,137915507,269563685,403329629,536587824,
OR10x100-0.50_7 SAM-0.01,5359602,58966100,139344150,273502663,407122835,540876777,
OR10x100-0.50_7 SAM-0.02,5359602,59062503,139707422,274139758,408278807,542258349,
OR10x100-0.50_7 SAM-0.05,5359602,59122248,139837971,273193041,406871720,541703825,
OR10x100-0.50_7 SAM-0.1,5359602,58926689,139289581,274030746,404396226,531920898,
OR10x100-0.50_7 SAM-0.2,5359602,58509724,137796888,270157533,397814221,525893042,
OR10x100-0.50_8 SAM-0.01,5285310,58099687,137476217,269941029,402378129,534562481,
OR10x100-0.50_8 SAM-0.02,5285310,58059639,136979917,268580768,400575714,531930507,
OR10x100-0.50_8 SAM-0.05,5285310,58219766,137228313,269215256,402804892,536265058,
OR10x100-0.50_8 SAM-0.1,5285310,57685364,134798527,264665708,396406500,529209904,
OR10x100-0.50_8 SAM-0.2,5285310,57706323,136979865,270977250,403944220,537415926,
OR10x100-0.50_9 SAM-0.01,5192076,57118301,134949073,264460706,394410317,524606695,
OR10x100-0.50_9 SAM-0.02,5192076,57185096,135571551,266378816,397663505,529161457,
OR10x100-0.50_9 SAM-0.05,5192076,57093685,134349653,263401036,389060750,515263902,
OR10x100-0.50_9 SAM-0.1,5192076,57673584,137424132,272417206,406164739,534330667,
OR10x100-0.50_9 SAM-0.2,5192076,56973005,133650302,259087000,384949913,509068220,
OR10x100-0.75_1 SAM-0.01,7057125,77643072,183396152,359231095,535672559,712133307,
